,word,word_count
2,the,34809
13,and,26650
47,a,22755
17,i,20237
42,to,17164
6,of,12600
83,is,11999
7,coffee,10353
22,was,9707
72,in,9546
21,it,9379
54,for,8680
82,this,6583
59,but,6501
201,with,6332
27,my,6202
137,they,6165
39,that,6151
86,you,5847
115,place,5426
31,on,5251
182,have,5019
80,so,4557
143,are,4359
323,not,4207
215,good,3973
198,great,3919
10,its,3633
110,their,3633
9,had,3402
187,here,3299
68,be,3282
245,like,3088
295,at,3079
113,as,3044
14,there,2975
281,if,2897
63,out,2726
57,or,2653
123,we,2633
90,just,2615
116,me,2613
36,all,2551
41,from,2501
214,very,2443
461,get,2427
15,were,2339
291,really,2317
363,one,2287
75,austin,2252
147,some,2068
506,also,2008
96,back,1987
0,love,1935
411,can,1916
186,up,1886
32,an,1885
635,time,1884
401,im,1861
141,when,1855
494,food,1836
93,about,1750
99,nice,1741
34,which,1682
8,shop,1680
262,friendly,1659
139,your,1652
299,go,1626
20,latte,1615
326,too,1585
378,more,1577
65,what,1569
111,would,1554
343,ive,1512
785,little,1504
237,by,1468
367,dont,1453
568,people,1424
402,only,1404
931,delicious,1402
242,service,1370
29,pretty,1363
586,has,1315
383,tea,1311
94,will,1303
561,staff,1298
901,work,1296
514,best,1294
50,got,1268
146,because,1257
741,other,1245
417,been,1232
620,come,1230
319,well,1221
394,do,1201
216,seating,1199
197,try,1191
79,definitely,1156
227,no,1154
599,even,1150
148,drinks,1117
129,parking,1107
933,iced,1093
463,always,1091
28,drink,1065
151,than,1012
188,spot,989
2773,breakfast,985
477,much,970
3,atmosphere,969
122,make,959
300,order,945
18,ordered,941
163,sweet,935
1077,day,924
508,them,905
768,small,901
225,milk,900
806,first,896
356,know,894
324,super,885
131,lot,861
263,made,842
701,over,839
702,our,836
862,espresso,834
940,amazing,830
3115,gelato,824
108,want,817
1720,cream,817
118,after,816
501,youre,796
293,didnt,792
641,how,792
887,while,787
288,think,786
207,see,783
503,favorite,777
195,cool,773
743,area,770
106,who,763
644,came,762
330,right,759
723,cup,758
229,music,753
165,inside,750
1210,two,746
228,wifi,744
161,outside,743
297,perfect,740
191,chocolate,739
178,bit,739
390,menu,734
181,could,730
190,hot,723
240,tables,718
1128,around,712
554,way,701
287,cute,694
269,few,690
613,better,687
344,never,684
547,down,684
294,find,682
438,am,681
698,he,675
815,awesome,667
432,space,658
212,cafe,656
572,tried,651
481,sure,650
664,location,648
305,ever,646
1115,though,641
619,going,640
533,still,634
575,both,633
301,theres,633
767,selection,627
276,new,617
315,went,617
771,many,614
895,free,610
600,taste,609
4,every,607
1025,next,606
345,before,605
1398,she,604
69,any,602
202,friends,601
754,most,600
426,bar,598
1198,now,598
274,since,590
196,off,589
710,recommend,586
1389,say,585
614,places,580
587,flavor,577
1852,morning,576
1171,cant,576
2726,tacos,575
71,listed,574
744,friend,570
412,then,567
1340,did,561
812,review,560
616,feel,560
905,where,560
472,something,558
153,cold,557
1620,local,557
328,study,554
694,baristas,546
172,flavors,544
1699,chai,539
259,plenty,538
1248,us,534
571,again,530
681,need,527
149,take,524
651,give,521
321,sit,512
166,wasnt,511
892,thats,509
818,shops,508
764,barista,508
355,beer,508
998,side,508
193,wait,505
543,enough,504
2569,patio,504
352,open,500
882,thing,499
126,chicken,497
351,2,496
132,done,492
218,everything,491
787,times,489
844,options,488
154,brew,486
539,vibe,485
1416,into,482
692,being,481
713,enjoy,481
1492,fresh,481
1140,kind,480
609,ill,479
860,house,479
632,looking,477
310,things,468
537,experience,466
95,probably,466
277,lots,463
910,pastries,463
1642,town,458
884,coming,449
1524,said,445
707,ice,442
4134,sandwich,441
423,long,439
408,5,438
430,stars,438
74,night,437
658,mocha,431
848,big,429
731,id,428
117,worth,427
1580,outdoor,424
308,counter,420
169,different,418
747,stop,417
1360,working,417
1611,live,415
1112,visit,413
424,table,409
648,usually,409
397,those,408
748,quality,407
610,another,406
1549,vanilla,405
285,front,397
451,makes,395
517,away,389
1119,excellent,388
