,word,wordcountrel
4,coffee,6115
70,place,3202
129,great,2987
142,good,2219
43,austin,1686
0,love,1515
166,like,1336
181,friendly,1265
742,delicious,1226
382,best,1102
10,latte,1063
5,shop,1060
58,nice,1049
610,little,996
487,time,928
242,ive,878
275,tea,875
364,food,868
47,definitely,852
421,staff,844
143,seating,817
128,try,785
714,work,772
744,iced,755
750,amazing,732
120,spot,731
79,parking,709
100,sweet,685
428,people,674
373,favorite,671
226,super,665
2818,gelato,662
29,got,660
208,perfect,656
2487,breakfast,653
2,atmosphere,651
472,come,642
16,pretty,637
88,drinks,591
876,day,590
636,awesome,573
260,dont,555
149,milk,536
81,lot,511
1477,cream,501
123,chocolate,489
576,area,484
163,service,480
599,small,479
231,right,479
313,space,464
547,recommend,462
677,espresso,456
201,cute,450
15,drink,449
250,know,448
127,cool,443
102,inside,442
598,selection,439
140,cafe,436
161,tables,432
152,music,429
371,youre,426
708,free,426
66,want,423
109,flavors,422
98,outside,419
151,wifi,418
178,plenty,418
115,bit,409
211,theres,401
282,menu,398
122,hot,397
560,cup,396
1381,local,393
206,find,392
132,friends,391
202,think,388
466,places,382
192,new,379
2441,tacos,377
76,chicken,373
431,tried,371
511,location,370
40,listed,370
229,study,364
1603,morning,360
351,sure,354
249,beer,350
307,bar,348
1263,fresh,347
2289,patio,338
1346,outdoor,336
91,brew,334
675,house,331
3255,moon,331
536,baristas,330
495,came,328
414,way,325
443,flavor,325
193,lots,325
550,enjoy,325
528,need,325
1456,chai,323
915,excellent,316
965,cant,312
1399,town,312
468,feel,302
224,sit,302
90,cold,299
687,tasty,298
721,pastries,297
1,loved,294
8,ordered,293
484,looking,291
1372,live,291
403,vibe,289
544,ice,288
335,quiet,283
247,open,282
664,big,277
672,wonderful,277
639,shops,276
980,beans,275
210,order,273
580,stop,273
409,street,268
581,quality,267
499,usually,267
698,coming,267
692,check,267
125,wait,267
1317,vanilla,265
660,options,264
42,night,263
506,mocha,263
329,happy,262
328,makes,259
577,friend,258
471,going,256
384,home,253
842,chill,252
216,things,250
546,highly,248
632,fantastic,247
114,enjoyed,247
35,found,245
106,different,244
71,worth,243
3330,toast,242
221,went,239
705,thats,237
223,fun,237
909,visit,233
807,cake,232
696,thing,231
1535,room,230
935,kind,230
798,wish,229
137,photos,227
261,theyre,226
45,beautiful,226
612,times,223
465,better,223
570,lunch,223
455,taste,223
1726,clean,216
1559,variety,214
3273,sandwiches,213
643,hours,210
96,light,210
437,half,206
269,neighborhood,205
319,fan,203
1645,downtown,203
522,outlets,203
3975,salad,201
205,didnt,200
57,unique,199
1062,offer,199
199,store,197
517,games,197
306,table,197
1212,huge,197
1103,helpful,196
1106,yummy,195
130,cozy,194
3317,south,192
64,decor,190
372,real,190
634,review,188
197,large,187
38,art,185
23,wine,185
463,ill,183
385,away,183
1172,actually,183
651,serve,182
56,probably,182
3807,sandwich,181
1140,working,181
1337,cheese,180
1053,comfortable,180
327,available,178
182,easy,178
454,sugar,177
225,prices,176
503,hard,175
294,stuff,175
318,fast,174
1384,smooth,174
4214,butter,172
322,starbucks,170
567,busy,168
270,far,167
305,long,165
383,studying,165
507,interior,164
1391,quick,164
492,especially,164
331,hang,164
14,getting,163
1867,grab,161
1813,summer,161
665,regular,160
985,caffeine,159
569,havent,159
237,black,158
860,absolutely,157
1109,afternoon,155
685,environment,155
992,vegan,155
148,almond,155
960,play,155
616,glad,153
1466,walk,153
297,couple,153
3123,bacon,152
1546,plus,151
311,stars,150
176,east,149
1441,strong,149
501,creamy,147
230,isnt,147
827,lattes,147
2599,taco,147
682,lovely,146
1764,caramel,146
2108,cookies,145
232,overall,144
426,use,144
52,waffle,144
77,waffles,143
170,located,142
498,green,141
3745,epoch,141
1659,italian,141
898,yelp,141
1253,texas,140
9,matcha,139
3105,eat,139
1549,life,138
308,chairs,138
1600,cappuccino,137
1325,gets,137
1350,bring,137
59,brunch,137
515,high,136
439,yes,136
53,dessert,135
85,items,135
289,coffees,134
653,totally,134
118,honey,133
11647,smores,132
1489,stopped,132
60,spots,131
488,look,130
907,late,126
1098,north,126
1469,gem,125
886,owner,124
1542,baked,123
41,date,123
134,book,123
1472,park,123
190,limited,123
3657,cookie,123
595,barista,120
157,french,120
2078,relaxing,119
844,trying,119
2206,buy,118
1543,goods,117
196,early,117
1593,teas,117
1102,able,116
33,heart,116
1911,packed,116
183,choose,116
342,business,116
83,pick,115
1459,line,115
418,having,114
480,days,114
815,point,114
1395,cinnamon,114
1470,special,114
44,ambiance,114
1132,wall,114
1022,owners,114
2029,rich,113
1097,hands,113
1572,door,112
4316,beers,112
1598,simple,112
1865,yum,112
401,experience,112
1339,crowded,112
1763,week,112
843,visiting,111
156,pleasant,111
908,saturday,111
923,youll,111
740,sunday,110
741,husband,110
304,liked,109
3535,egg,109
1556,decided,109
1841,close,108
1656,bakery,107
880,near,107
133,read,107
1860,roast,107
1594,organic,106
1801,hazelnut,106
803,perfectly,106
1239,drive,105
9605,andersons,104
3597,bean,103
878,bread,103
3624,coconut,103
2360,indoor,102
977,comfy,101
95,strawberry,101
356,set,101
281,add,100
1333,ask,100
246,thought,100
3796,boba,99
2086,years,99
3,corner,99
1162,snacks,99
604,comes,99
108,interesting,98
4011,basil,98
2417,weekend,98
726,board,97
1299,list,97
894,folks,97
341,world,97
635,tell,96
723,talk,96
1667,dark,96
530,making,96
961,game,96
1410,lavender,96
1900,choice,95
1342,natural,94
603,tastes,94
65,doesnt,94
296,meet,93
849,let,93
571,dinner,93
2276,ingredients,93
26,sweetness,93
638,decent,92
5757,trailer,92
1914,welcoming,92
667,refreshing,91
629,soy,91
302,hipster,91
103,wasnt,91
2153,view,90
2776,mexican,90
1811,relax,90
445,pastry,90
514,couches,90
1334,served,89
2042,hidden,89
393,old,89
2216,run,89
343,seriously,89
670,houndstooth,88
150,cortado,88
